predicate,group,evidence,time,ov_split,instances,mean_frames,median_frames,max_frames,mean_segments,frac_over_1seg,review
above,geometric_static,geometric,static,novel,5,36,30,45,1.2,0.4,False
away,geometric_dynamic,geometric,dynamic,novel,7,30,30,30,1.0,0.0,False
behind,geometric_static,geometric,static,base,33,70,30,510,2.33,0.455,False
beneath,geometric_static,geometric,static,novel,7,36.4,30,60,1.21,0.286,False
bite,appearance_dynamic,appearance,dynamic,novel,4,63.8,60.0,90,2.12,1.0,False
chase,geometric_dynamic,geometric,dynamic,base,12,56.2,37.5,210,1.88,0.5,False
creep_above,geometric_dynamic,geometric,dynamic,novel,4,52.5,52.5,75,1.75,0.75,False
creep_away,geometric_dynamic,geometric,dynamic,novel,1,30,30,30,1.0,0.0,False
creep_behind,geometric_dynamic,geometric,dynamic,base,18,45.8,45.0,75,1.53,0.667,False
creep_beneath,geometric_dynamic,geometric,dynamic,base,4,30,30.0,30,1.0,0.0,False
creep_front,geometric_dynamic,geometric,dynamic,base,14,54.6,52.5,75,1.82,0.786,False
creep_left,geometric_dynamic,geometric,dynamic,base,17,66.2,45,150,2.21,0.765,False
creep_next_to,geometric_dynamic,geometric,dynamic,novel,2,52.5,52.5,75,1.75,0.5,False
creep_past,geometric_dynamic,geometric,dynamic,novel,2,45,45.0,45,1.5,1.0,False
creep_right,geometric_dynamic,geometric,dynamic,base,11,64.1,60,105,2.14,0.909,False
creep_toward,geometric_dynamic,geometric,dynamic,novel,1,60,60,60,2.0,1.0,False
drive,geometric_static,geometric,static,novel,3,285,360,375,9.5,1.0,False
fall_off,geometric_dynamic,geometric,dynamic,base,1,90,90,90,3.0,1.0,False
faster,geometric_dynamic,geometric,dynamic,base,21,47.1,45,105,1.57,0.571,False
feed,appearance_dynamic,appearance,dynamic,novel,9,165,150,360,5.5,0.778,False
fight,appearance_dynamic,appearance,dynamic,novel,8,153.8,105.0,375,5.12,0.75,False
fly_above,geometric_dynamic,geometric,dynamic,base,4,56.2,45.0,105,1.88,0.5,False
fly_away,geometric_dynamic,geometric,dynamic,novel,1,45,45,45,1.5,1.0,False
fly_behind,geometric_dynamic,geometric,dynamic,novel,2,30,30.0,30,1.0,0.0,False
fly_front,geometric_dynamic,geometric,dynamic,novel,1,30,30,30,1.0,0.0,False
fly_left,geometric_dynamic,geometric,dynamic,novel,2,90,90.0,150,3.0,0.5,False
fly_next_to,geometric_dynamic,geometric,dynamic,base,22,91.4,60.0,135,3.05,1.0,False
fly_past,geometric_dynamic,geometric,dynamic,base,4,60,52.5,105,2.0,0.75,False
fly_right,geometric_dynamic,geometric,dynamic,novel,2,75,75.0,75,2.5,1.0,False
fly_toward,geometric_dynamic,geometric,dynamic,base,3,50,60,60,1.67,0.667,False
fly_with,geometric_dynamic,geometric,dynamic,base,70,103.7,135.0,135,3.46,0.886,False
follow,geometric_dynamic,geometric,dynamic,base,25,87,60,255,2.9,0.8,False
front,geometric_static,geometric,static,base,60,103,45.0,900,3.43,0.6,False
hold,appearance_static,appearance,static,novel,8,208.1,82.5,705,6.94,0.875,False
jump_above,geometric_dynamic,geometric,dynamic,novel,2,37.5,37.5,45,1.25,0.5,False
jump_away,geometric_dynamic,geometric,dynamic,novel,3,30,30,30,1.0,0.0,False
jump_behind,geometric_dynamic,geometric,dynamic,novel,8,30,30.0,30,1.0,0.0,False
jump_beneath,geometric_dynamic,geometric,dynamic,base,13,53.1,45,90,1.77,0.923,False
jump_front,geometric_dynamic,geometric,dynamic,base,15,47,45,120,1.57,0.667,False
jump_left,geometric_dynamic,geometric,dynamic,base,18,52.5,45.0,120,1.75,0.722,False
jump_next_to,geometric_dynamic,geometric,dynamic,base,10,48,45.0,75,1.6,0.6,False
